1000000133868828            PPJEBALI                        FETHI                    19750110TUNMS44 Avenue de la Liberte                 Lot 5                                   Kebili              72482KEB002163166873002167990682fethi.jebali@email.tn                             FONCTIONNAIRE                           INGENIEUR SYSTEMES            000264629YMM78V20260212NN20140530A7178890018000000002117032000000002117032          
1000000221868105            PPJEBALI                        INES                     19740426TUNFD12 Rue du 7 Novembre                                                            Ben Arous           50797BAR002163298105002167602267ines.jebali@email.tn                              COMMERCE DETAIL                         ARTISAN                       000172780YMM69V20270215NN20190206A4792010037000000002418920000000001209460          
1000000332244663            PPHAMROUNI                      MEHDI                    19640123TUNMM104 Rue de Sfax                         Lot 5                                   Sousse              22319SOU002166968484002167596045mehdi.hamrouni@email.tn                           GROUPE BAYAHI                           INGENIEUR CIVIL               000489757YMM82V20260517NN20190510A3302830044000000008815626000000003918056          
1000000443339391            PPTRABELSI                      SAMI                     19901228TUNMS15 Route de Megrine                     Villa                                   Tozeur              42245TOZ002164853825002167837571sami.trabelsi@email.tn                            ENSEIGNANT SECONDAIRE                   DENTISTE                      000288873YMM96V20260623NN20180202A3299740009000000006932952000000001444365          
1000000585214382            PPMEJRI                         YASSINE                  19690509TUNMM27 Avenue de la Republique              Villa                                   Ben Arous           51432BAR002167122007002167999734yassine.mejri@email.tn                            CABINET D AVOCAT                        CHAUFFEUR                     000440049YMM02V20250823NN20101226A4566990008000000007480833000000002200245          
1000000668187530            PPTLILI                         FETHI                    19710111TUNMM44 Avenue de la Liberte                 Lot 5                                   Kef                 84748KEF002168813735002167333717fethi.tlili@email.tn                              OOREDOO TUNISIE                         ARTISAN                       001065579YMB68V20280511NN20130221A9720640020000000015983685000000002131158          
1000000710289546            PPABDELLI                       KARIM                    20021016TUNMM8 Rue Ibn Khaldoun                      Lot 5                                   Kairouan            73063KAI002164216296002167444691karim.abdelli@email.tn                            STEG SOCIETE TUNISIENNE DE L ELECTRICITEGERANT SOCIETE                000261043YMM97V20260216NN20200125A5593810034000000005742946000000000522086          
1000000879961459            PPBELHAJ                        NIDHAL                   19750824TUNMM15 Avenue Habib Bourguiba                                                       Tozeur              83719TOZ002162790190002167384100nidhal.belhaj@email.tn                            TUNISIE TELECOM                         INGENIEUR SYSTEMES            000574299YMB36V20260315NN20241016A5956310016000000013208877000000004594392          
1000000948553014            PPZOUARI                        YASSINE                  19921231TUNMM56 Avenue Bourguiba                                                             Gafsa               86649GAF002163320942002167101691yassine.zouari@email.tn                           ENSEIGNANT SECONDAIRE                   JOURNALISTE                   000207288YMM25V20251015NN20100809A1790460029000000002280168000000000414576          
1000001023321899            PPBOUAZIZ                       KARIM                    19910618TUNMM15 Route de Megrine                     Bloc A                                  Ariana              22579ARI002167086491002167003616karim.bouaziz@email.tn                            ENSEIGNANT SECONDAIRE                   DIRECTEUR COMMERCIAL          003408443YPR90P20280213NN20090405A1613240038000000030675987000000023859101          
1000001168491435            PPBENMOHAMED                    BILEL                    20020825TUNMS67 Avenue Taieb Mhiri                                                           Zaghouan            09981ZAG002169986426002167114019bilel.benmohamed@email.tn                         BNA                                     GERANT SOCIETE                000212855YMM73V20280502NN20190930A6481770021000000003405680000000000638565          
1000001254121477            PPTLILI                         MERIEM                   19660928TUNFM23 Avenue des Jasmins                   Bloc A                                  Siliana             99548SIL002162973657002167015628meriem.tlili@email.tn                             CABINET D AVOCAT                        DIRECTRICE GENERALE           004838703YPB28V20250929NN20240920A3988300011000000106451466000000038709624          
1000001302049999            PPKILANI                        SARRA                    19811110TUNFD44 Avenue de la Liberte                 Appartement 3B                          Jendouba            16129JEN002163436612002167928155sarra.kilani@email.tn                             OOREDOO TUNISIE                         DIRECTEUR COMMERCIAL          000260430YMM27V20260625NN20231224A7650950028000000004166880000000000520860          
1000001422687165            PPTLILI                         OUSSAMA                  19940822TUNMM27 Avenue de la Republique              Villa                                   Tunis               15663TUN002163009905002167250071oussama.tlili@email.tn                            SONEDE                                  INGENIEUR SYSTEMES            001110805YMB56V20260924NN20240421A4751900014000000016662075000000007775635          
1000001532774346            PPMEJRI                         SARRA                    19690730TUNFW31 Boulevard du Lac                     Bloc A                                  Tunis               24509TUN002166458517002167690740sarra.mejri@email.tn                              AGIL ENERGIE                            INGENIEUR CIVIL               001350132YMB21V20250810NN20150723A9562530030000000025652508000000005400528          
1000001689588154            PPBELHAJ                        SAMI                     19720429TUNMM78 Avenue Jugurtha                                                              Jendouba            47025JEN002168837127002167670549sami.belhaj@email.tn                              BNA                                     COMPTABLE                     000164470YMM34V20260628NN20121002A4289140028000000003947280000000000328940          
1000001796131550            PPTRABELSI                      AMINE                    19940213TUNMS42 Rue d Espagne                        Lot 5                                   Kebili              98248KEB002164644560002167611062amine.trabelsi@email.tn                           FONCTIONNAIRE                           PHARMACIEN                    002884959YPR85V20260908NN20120426A4100160036000000034619508000000008654877          
1000001883613013            PPSOUSSI                        HAJER                    19811231TUNFM15 Avenue Habib Bourguiba               Etage 2                                 Kef                 28549KEF002167769861002167973052hajer.soussi@email.tn                             BIAT                                    DENTISTE                      000381623YMM28V20251214NN20191122A4514700006000000005724345000000002671361          
